cuda_0_max_memory_allocated_bytes,cuda_0_max_memory_reserved_bytes,cuda_0_memory_allocated_bytes,cuda_0_memory_reserved_bytes,cuda_device_count,device,disk_free_bytes,disk_percent,disk_total_bytes,disk_used_bytes,elapsed_s,inference_latency_s,label,llm_id,n_predictions,notebook,phase,prediction_chars,process_cpu_percent,process_read_bytes,process_read_count,process_rss_bytes,process_vms_bytes,process_write_bytes,process_write_count,sample_id,stage,step,system_cpu_percent,system_ram_available_bytes,system_ram_percent,system_ram_total_bytes,system_ram_used_bytes,test_batches,timestamp_utc
8836888064,19507707904,8702776320,19507707904,1,cuda,380294111232,61.9,999327526912,619033415680,6.628945,,obd_flamingo_llama_3_2_1b_inference,meta-llama/Llama-3.2-1B,,obd_flamingo_alignment_training,sample,,99.9,152885637,15466,10031038464,23529410560,18112129981,3065,,inference,6,8.3,41761443840,39.1,68541702144,26780258304,,2026-03-10T13:43:49.833971+00:00
8836888064,19507707904,8703428608,19507707904,1,cuda,380288978944,61.9,999327526912,619038547968,7.133755,,obd_flamingo_llama_3_2_1b_inference,meta-llama/Llama-3.2-1B,,obd_flamingo_alignment_training,sample,,100.0,152885637,15466,10031038464,23529410560,18112129981,3065,,inference,7,6.8,41756024832,39.1,68541702144,26785677312,,2026-03-10T13:43:50.338781+00:00
8836888064,19507707904,8681141760,19507707904,1,cuda,380287598592,61.9,999327526912,619039928320,7.174727,2.5731929000030505,obd_flamingo_llama_3_2_1b_inference,meta-llama/Llama-3.2-1B,,obd_flamingo_alignment_training,inference_step,655,66.5,152885637,15466,10031038464,23529410560,18112129981,3065,obd_cot_000041,inference,3,9.2,41754750976,39.1,68541702144,26786951168,,2026-03-10T13:43:50.379013+00:00
8836888064,19507707904,8700515328,19507707904,1,cuda,380282990592,61.9,999327526912,619044536320,7.63623,,obd_flamingo_llama_3_2_1b_inference,meta-llama/Llama-3.2-1B,,obd_flamingo_alignment_training,sample,,103.5,152885637,15466,10031054848,23529410560,18112129981,3065,,inference,4,7.5,41764319232,39.1,68541702144,26777382912,,2026-03-10T13:43:50.840431+00:00
8836888064,19507707904,8701189632,19507707904,1,cuda,380276940800,61.9,999327526912,619050586112,8.150916,,obd_flamingo_llama_3_2_1b_inference,meta-llama/Llama-3.2-1B,,obd_flamingo_alignment_training,sample,,99.9,152885637,15466,10031054848,23529410560,18112129981,3065,,inference,5,8.4,41761677312,39.1,68541702144,26780024832,,2026-03-10T13:43:51.355942+00:00
8836888064,19507707904,8701965824,19507707904,1,cuda,380270161920,61.9,999327526912,619057364992,8.666968,,obd_flamingo_llama_3_2_1b_inference,meta-llama/Llama-3.2-1B,,obd_flamingo_alignment_training,sample,,100.1,152885637,15466,10031054848,23529410560,18112129981,3065,,inference,6,6.2,41756024832,39.1,68541702144,26785677312,,2026-03-10T13:43:51.870993+00:00
8836888064,19507707904,8702818304,19507707904,1,cuda,380264632320,61.9,999327526912,619062894592,9.170136,,obd_flamingo_llama_3_2_1b_inference,meta-llama/Llama-3.2-1B,,obd_flamingo_alignment_training,sample,,100.0,152885637,15466,10031054848,23529410560,18112129981,3065,,inference,7,9.2,41771352064,39.1,68541702144,26770350080,,2026-03-10T13:43:52.375162+00:00
8836888064,19507707904,8703546368,19507707904,1,cuda,380258775040,61.9,999327526912,619068751872,9.678517,,obd_flamingo_llama_3_2_1b_inference,meta-llama/Llama-3.2-1B,,obd_flamingo_alignment_training,sample,,99.9,152885637,15466,10031054848,23529410560,18112129981,3065,,inference,8,8.2,41769529344,39.1,68541702144,26772172800,,2026-03-10T13:43:52.882746+00:00
8836888064,19507707904,8681141760,19507707904,1,cuda,380255158272,61.9,999327526912,619072368640,9.917985,2.7420635000016773,obd_flamingo_llama_3_2_1b_inference,meta-llama/Llama-3.2-1B,,obd_flamingo_alignment_training,inference_step,743,100.2,152885637,15466,10031054848,23529410560,18112129981,3065,obd_cot_000164,inference,4,7.9,41768255488,39.1,68541702144,26773446656,,2026-03-10T13:43:53.122260+00:00
8836888064,19507707904,8699965440,19507707904,1,cuda,380251934720,61.9,999327526912,619075592192,10.184572,,obd_flamingo_llama_3_2_1b_inference,meta-llama/Llama-3.2-1B,,obd_flamingo_alignment_training,sample,,99.9,152885637,15466,10031063040,23529410560,18112129981,3065,,inference,5,9.1,41780310016,39.0,68541702144,26761392128,,2026-03-10T13:43:53.388305+00:00
8836888064,19507707904,8700760064,19507707904,1,cuda,380246011904,61.9,999327526912,619081515008,10.686369,,obd_flamingo_llama_3_2_1b_inference,meta-llama/Llama-3.2-1B,,obd_flamingo_alignment_training,sample,,100.0,152885637,15466,10031063040,23529410560,18112129981,3065,,inference,6,8.1,41778360320,39.0,68541702144,26763341824,,2026-03-10T13:43:53.890834+00:00
8836888064,19507707904,8701573120,19507707904,1,cuda,380240027648,62.0,999327526912,619087499264,11.187472,,obd_flamingo_llama_3_2_1b_inference,meta-llama/Llama-3.2-1B,,obd_flamingo_alignment_training,sample,,96.9,152885637,15466,10031063040,23529410560,18112129981,3065,,inference,7,10.3,41776582656,39.0,68541702144,26765119488,,2026-03-10T13:43:54.391874+00:00
8836888064,19507707904,8702449664,19507707904,1,cuda,380234100736,62.0,999327526912,619093426176,11.699116,,obd_flamingo_llama_3_2_1b_inference,meta-llama/Llama-3.2-1B,,obd_flamingo_alignment_training,sample,,99.9,152885637,15466,10031063040,23529410560,18112129981,3065,,inference,8,10.9,41789493248,39.0,68541702144,26752208896,,2026-03-10T13:43:54.903385+00:00
8836888064,19507707904,8703131648,19507707904,1,cuda,380228177920,62.0,999327526912,619099348992,12.20077,,obd_flamingo_llama_3_2_1b_inference,meta-llama/Llama-3.2-1B,,obd_flamingo_alignment_training,sample,,100.0,152885637,15466,10031063040,23529410560,18112129981,3065,,inference,9,6.6,41782595584,39.0,68541702144,26759106560,,2026-03-10T13:43:55.405009+00:00
8836888064,19507707904,8703835136,19507707904,1,cuda,380222783488,62.0,999327526912,619104743424,12.703268,,obd_flamingo_llama_3_2_1b_inference,meta-llama/Llama-3.2-1B,,obd_flamingo_alignment_training,sample,,100.0,152885637,15466,10031063040,23529410560,18112129981,3065,,inference,10,6.9,41777569792,39.0,68541702144,26764132352,,2026-03-10T13:43:55.907318+00:00
8836888064,19507707904,8681141760,19507707904,1,cuda,380222717952,62.0,999327526912,619104808960,12.72211,2.8060856999945827,obd_flamingo_llama_3_2_1b_inference,meta-llama/Llama-3.2-1B,,obd_flamingo_alignment_training,inference_step,741,100.8,152885637,15466,10031067136,23529476096,18112129981,3065,obd_cot_000089,inference,5,8.6,41777553408,39.0,68541702144,26764148736,,2026-03-10T13:43:55.927136+00:00
8836888064,19507707904,8700430336,19507707904,1,cuda,380216070144,62.0,999327526912,619111456768,13.218769,,obd_flamingo_llama_3_2_1b_inference,meta-llama/Llama-3.2-1B,,obd_flamingo_alignment_training,sample,,96.8,152885637,15466,10031075328,23529476096,18112129981,3065,,inference,6,8.4,41788145664,39.0,68541702144,26753556480,,2026-03-10T13:43:56.423045+00:00
8836888064,19507707904,8701343744,19507707904,1,cuda,380210675712,62.0,999327526912,619116851200,13.733884,,obd_flamingo_llama_3_2_1b_inference,meta-llama/Llama-3.2-1B,,obd_flamingo_alignment_training,sample,,96.9,152885637,15466,10031075328,23529476096,18112129981,3065,,inference,7,11.5,41782996992,39.0,68541702144,26758705152,,2026-03-10T13:43:56.938407+00:00
8836888064,19507707904,8702107136,19507707904,1,cuda,380203958272,62.0,999327526912,619123568640,14.236299,,obd_flamingo_llama_3_2_1b_inference,meta-llama/Llama-3.2-1B,,obd_flamingo_alignment_training,sample,,100.0,152885637,15466,10031075328,23529476096,18112129981,3065,,inference,8,10.5,41791131648,39.0,68541702144,26750570496,,2026-03-10T13:43:57.440566+00:00
8836888064,19507707904,8702766080,19507707904,1,cuda,380198035456,62.0,999327526912,619129491456,14.751547,,obd_flamingo_llama_3_2_1b_inference,meta-llama/Llama-3.2-1B,,obd_flamingo_alignment_training,sample,,100.1,152885637,15466,10031075328,23529476096,18112129981,3065,,inference,9,9.5,41791209472,39.0,68541702144,26750492672,,2026-03-10T13:43:57.955821+00:00
8836888064,19507707904,8681141760,19507707904,1,cuda,380193497088,62.0,999327526912,619134029824,15.129402,2.4028526000038255,obd_flamingo_llama_3_2_1b_inference,meta-llama/Llama-3.2-1B,,obd_flamingo_alignment_training,inference_step,674,95.9,152885637,15466,10031075328,23529476096,18112129981,3065,obd_cot_000182,inference,6,9.9,41790033920,39.0,68541702144,26751668224,,2026-03-10T13:43:58.333687+00:00
8836888064,19507707904,8699957248,19507707904,1,cuda,380192116736,62.0,999327526912,619135410176,15.252402,,obd_flamingo_llama_3_2_1b_inference,meta-llama/Llama-3.2-1B,,obd_flamingo_alignment_training,sample,,114.7,152885637,15466,10031091712,23529476096,18112129981,3065,,inference,7,9.5,41789665280,39.0,68541702144,26752036864,,2026-03-10T13:43:58.456729+00:00
8836888064,19507707904,8700758016,19507707904,1,cuda,380185866240,62.0,999327526912,619141660672,15.768183,,obd_flamingo_llama_3_2_1b_inference,meta-llama/Llama-3.2-1B,,obd_flamingo_alignment_training,sample,,96.9,152885637,15466,10031091712,23529476096,18112129981,3065,,inference,8,9.2,41804763136,39.0,68541702144,26736939008,,2026-03-10T13:43:58.972495+00:00
8836888064,19507707904,8701374976,19507707904,1,cuda,380179943424,62.0,999327526912,619147583488,16.269692,,obd_flamingo_llama_3_2_1b_inference,meta-llama/Llama-3.2-1B,,obd_flamingo_alignment_training,sample,,96.9,152885637,15466,10031091712,23529476096,18112129981,3065,,inference,9,6.4,41802772480,39.0,68541702144,26738929664,,2026-03-10T13:43:59.473950+00:00
8836888064,19507707904,8702166016,19507707904,1,cuda,380174614528,62.0,999327526912,619152912384,16.770111,,obd_flamingo_llama_3_2_1b_inference,meta-llama/Llama-3.2-1B,,obd_flamingo_alignment_training,sample,,106.2,152885637,15466,10031095808,23529476096,18112129981,3065,,inference,10,9.9,41797464064,39.0,68541702144,26744238080,,2026-03-10T13:43:59.974823+00:00
8836888064,19507707904,8703025152,19507707904,1,cuda,380167901184,62.0,999327526912,619159625728,17.284057,,obd_flamingo_llama_3_2_1b_inference,meta-llama/Llama-3.2-1B,,obd_flamingo_alignment_training,sample,,97.1,152885637,15466,10031095808,23529476096,18112129981,3065,,inference,11,6.3,41804636160,39.0,68541702144,26737065984,,2026-03-10T13:44:00.488322+00:00
8836888064,19507707904,8703599616,19507707904,1,cuda,380161847296,62.0,999327526912,619165679616,17.799395,,obd_flamingo_llama_3_2_1b_inference,meta-llama/Llama-3.2-1B,,obd_flamingo_alignment_training,sample,,99.9,152885637,15466,10031095808,23529476096,18112129981,3065,,inference,12,8.1,41798955008,39.0,68541702144,26742747136,,2026-03-10T13:44:01.003865+00:00
8836888064,19507707904,8681141760,19507707904,1,cuda,380160004096,62.0,999327526912,619167522816,17.962024,2.831398500013165,obd_flamingo_llama_3_2_1b_inference,meta-llama/Llama-3.2-1B,,obd_flamingo_alignment_training,inference_step,704,90.1,152885637,15466,10031095808,23529476096,18112129981,3065,obd_cot_000042,inference,7,7.8,41798447104,39.0,68541702144,26743255040,,2026-03-10T13:44:01.166500+00:00
8836888064,19507707904,8700085248,19507707904,1,cuda,380155924480,62.0,999327526912,619171602432,18.301125,,obd_flamingo_llama_3_2_1b_inference,meta-llama/Llama-3.2-1B,,obd_flamingo_alignment_training,sample,,77.2,152885637,15466,10031099904,23529476096,18112129981,3065,,inference,8,9.0,41809235968,39.0,68541702144,26732466176,,2026-03-10T13:44:01.505404+00:00
8836888064,19507707904,8700906496,19507707904,1,cuda,380149936128,62.0,999327526912,619177590784,18.802491,,obd_flamingo_llama_3_2_1b_inference,meta-llama/Llama-3.2-1B,,obd_flamingo_alignment_training,sample,,103.1,152885637,15466,10031112192,23529476096,18112129981,3065,,inference,9,8.8,41803554816,39.0,68541702144,26738147328,,2026-03-10T13:44:02.006908+00:00
8836888064,19507707904,8701600768,19507707904,1,cuda,380144934912,62.0,999327526912,619182592000,19.302955,,obd_flamingo_llama_3_2_1b_inference,meta-llama/Llama-3.2-1B,,obd_flamingo_alignment_training,sample,,100.0,152885637,15466,10031112192,23529476096,18112129981,3065,,inference,10,6.2,41799180288,39.0,68541702144,26742521856,,2026-03-10T13:44:02.507981+00:00
8836888064,19507707904,8702158336,19507707904,1,cuda,380138549248,62.0,999327526912,619188977664,19.802971,,obd_flamingo_llama_3_2_1b_inference,meta-llama/Llama-3.2-1B,,obd_flamingo_alignment_training,sample,,93.8,152885637,15466,10031112192,23529476096,18112129981,3065,,inference,11,9.3,41809928192,39.0,68541702144,26731773952,,2026-03-10T13:44:03.007997+00:00
8836888064,19507707904,8681141760,19507707904,1,cuda,380133220352,62.0,999327526912,619194306560,20.220654,2.2579501000000164,obd_flamingo_llama_3_2_1b_inference,meta-llama/Llama-3.2-1B,,obd_flamingo_alignment_training,inference_step,505,88.9,152885637,15466,10031112192,23529476096,18112129981,3065,obd_cot_000003,inference,8,8.3,41805520896,39.0,68541702144,26736181248,,2026-03-10T13:44:03.425680+00:00
8836888064,19507707904,8699920896,19507707904,1,cuda,380132102144,62.0,999327526912,619195424768,20.318793,,obd_flamingo_llama_3_2_1b_inference,meta-llama/Llama-3.2-1B,,obd_flamingo_alignment_training,sample,,116.4,152885637,15466,10031112192,23529476096,18112129981,3065,,inference,9,8.5,41802539008,39.0,68541702144,26739163136,,2026-03-10T13:44:03.523162+00:00
8836888064,19507707904,8700496384,19507707904,1,cuda,380126052352,62.0,999327526912,619201474560,20.82032,,obd_flamingo_llama_3_2_1b_inference,meta-llama/Llama-3.2-1B,,obd_flamingo_alignment_training,sample,,93.8,152885637,15466,10031140864,23529476096,18112129981,3065,,inference,10,9.9,41796931584,39.0,68541702144,26744770560,,2026-03-10T13:44:04.024531+00:00
8836888064,19507707904,8701178368,19507707904,1,cuda,380120059904,62.0,999327526912,619207467008,21.336216,,obd_flamingo_llama_3_2_1b_inference,meta-llama/Llama-3.2-1B,,obd_flamingo_alignment_training,sample,,97.1,152885637,15466,10031140864,23529476096,18112129981,3065,,inference,11,8.3,41808093184,39.0,68541702144,26733608960,,2026-03-10T13:44:04.540321+00:00
8836888064,19507707904,8702005248,19507707904,1,cuda,380113940480,62.0,999327526912,619213586432,21.852018,,obd_flamingo_llama_3_2_1b_inference,meta-llama/Llama-3.2-1B,,obd_flamingo_alignment_training,sample,,87.8,152885637,15466,10031140864,23529476096,18112129981,3065,,inference,12,8.1,41800359936,39.0,68541702144,26741342208,,2026-03-10T13:44:05.056355+00:00
8836888064,19507707904,8707587072,19507707904,1,cuda,380107689984,62.0,999327526912,619219836928,22.366784,,obd_flamingo_llama_3_2_1b_inference,meta-llama/Llama-3.2-1B,,obd_flamingo_alignment_training,sample,,88.0,152885637,15466,10031140864,23529476096,18112129981,3065,,inference,13,8.7,41794457600,39.0,68541702144,26747244544,,2026-03-10T13:44:05.571235+00:00
8836888064,19507707904,8703282688,19507707904,1,cuda,380101570560,62.0,999327526912,619225956352,22.880385,,obd_flamingo_llama_3_2_1b_inference,meta-llama/Llama-3.2-1B,,obd_flamingo_alignment_training,sample,,99.9,152885637,15466,10031140864,23529476096,18112129981,3065,,inference,14,8.8,41804849152,39.0,68541702144,26736852992,,2026-03-10T13:44:06.084704+00:00
8836888064,19507707904,8681141760,19507707904,1,cuda,380097097728,62.0,999327526912,619230429184,23.272618,3.050843100005295,obd_flamingo_llama_3_2_1b_inference,meta-llama/Llama-3.2-1B,,obd_flamingo_alignment_training,inference_step,626,91.9,152885637,15466,10031165440,23529476096,18112129981,3065,obd_cot_000073,inference,9,8.6,41799540736,39.0,68541702144,26742161408,,2026-03-10T13:44:06.477644+00:00
8836888064,19507707904,8699834368,19507707904,1,cuda,380095717376,62.0,999327526912,619231809536,23.383386,,obd_flamingo_llama_3_2_1b_inference,meta-llama/Llama-3.2-1B,,obd_flamingo_alignment_training,sample,,100.3,152885637,15466,10031173632,23529476096,18112129981,3065,,inference,10,7.1,41795805184,39.0,68541702144,26745896960,,2026-03-10T13:44:06.587669+00:00
8836888064,19507707904,8700614144,19507707904,1,cuda,380089856000,62.0,999327526912,619237670912,23.885166,,obd_flamingo_llama_3_2_1b_inference,meta-llama/Llama-3.2-1B,,obd_flamingo_alignment_training,sample,,90.6,152885637,15466,10031177728,23529476096,18112129981,3065,,inference,11,9.3,41806733312,39.0,68541702144,26734968832,,2026-03-10T13:44:07.089846+00:00
8836888064,19507707904,8701161984,19507707904,1,cuda,380083605504,62.0,999327526912,619243921408,24.400671,,obd_flamingo_llama_3_2_1b_inference,meta-llama/Llama-3.2-1B,,obd_flamingo_alignment_training,sample,,78.7,152885637,15466,10031177728,23529476096,18112129981,3065,,inference,12,8.3,41803333632,39.0,68541702144,26738368512,,2026-03-10T13:44:07.604968+00:00
8836888064,19507707904,8701969408,19507707904,1,cuda,380077686784,62.0,999327526912,619249840128,24.913749,,obd_flamingo_llama_3_2_1b_inference,meta-llama/Llama-3.2-1B,,obd_flamingo_alignment_training,sample,,97.1,152885637,15466,10031177728,23529476096,18112129981,3065,,inference,13,7.7,41799094272,39.0,68541702144,26742607872,,2026-03-10T13:44:08.118775+00:00
8836888064,19507707904,8707629056,19507707904,1,cuda,380071759872,62.0,999327526912,619255767040,25.41773,,obd_flamingo_llama_3_2_1b_inference,meta-llama/Llama-3.2-1B,,obd_flamingo_alignment_training,sample,,90.6,152885637,15466,10031185920,23529476096,18112129981,3065,,inference,14,8.7,41809485824,39.0,68541702144,26732216320,,2026-03-10T13:44:08.622004+00:00
8836888064,19507707904,8703214080,19507707904,1,cuda,380065579008,62.0,999327526912,619261947904,25.918397,,obd_flamingo_llama_3_2_1b_inference,meta-llama/Llama-3.2-1B,,obd_flamingo_alignment_training,sample,,100.0,152885637,15466,10031185920,23529476096,18112129981,3065,,inference,15,10.0,41804230656,39.0,68541702144,26737471488,,2026-03-10T13:44:09.122799+00:00
