best_val,checkpoint_path,cuda_0_max_memory_allocated_bytes,cuda_0_max_memory_reserved_bytes,cuda_0_memory_allocated_bytes,cuda_0_memory_reserved_bytes,cuda_device_count,device,disk_free_bytes,disk_percent,disk_total_bytes,disk_used_bytes,elapsed_s,epoch,grad_norm,label,llm_id,loss,lr,notebook,num_epochs,phase,process_cpu_percent,process_read_bytes,process_read_count,process_rss_bytes,process_vms_bytes,process_write_bytes,process_write_count,stage,step,step_duration_s,system_cpu_percent,system_ram_available_bytes,system_ram_percent,system_ram_total_bytes,system_ram_used_bytes,timestamp_utc,train_batches,train_loss,val_batches,val_loss
,,572986368,2342518784,572986368,2342518784,1,cuda,14663004160,96.9,479098388480,464435384320,0.002006,,,obd_soft_prompt_gemma_3_270m_train,google/gemma-3-270m,,,obd_soft_prompt_training,200,setup,0.0,222597637,163584,1270837248,4763357184,247736,125,train,0,,0.0,12419313664,51.7,25692307456,13272993792,2026-03-09T11:20:28.836964+00:00,58,,39,
,,7279789568,8153726976,7279789568,8153726976,1,cuda,14663020544,96.9,479098388480,464435367936,0.555518,,,obd_soft_prompt_gemma_3_270m_train,google/gemma-3-270m,,,obd_soft_prompt_training,,sample,75.0,222617002,163588,1646583808,10676989952,247736,125,train,1,,17.7,11769073664,54.2,25692307456,13923233792,2026-03-09T11:20:29.344109+00:00,,,,
,,7279789568,8153726976,820912640,8153726976,1,cuda,14663016448,96.9,479098388480,464435372032,1.069338,,,obd_soft_prompt_gemma_3_270m_train,google/gemma-3-270m,,,obd_soft_prompt_training,,sample,94.5,222617002,163588,2861436928,11150131200,247736,125,train,2,,27.4,10366660608,59.7,25692307456,15325646848,2026-03-09T11:20:29.905297+00:00,,,,
,,7279789568,8195670016,630614016,8195670016,1,cuda,14663016448,96.9,479098388480,464435372032,1.308351,1,26.084278106689453,obd_soft_prompt_gemma_3_270m_train,google/gemma-3-270m,8.839738845825195,1.7241379310344828e-07,obd_soft_prompt_training,,train_step,59.8,222617002,163588,2996744192,11309981696,247736,125,train,1,1.2956834999999955,31.8,10201468928,60.3,25692307456,15490838528,2026-03-09T11:20:30.144310+00:00,,,,
,,7279789568,11609833472,4172075520,11609833472,1,cuda,9793249280,98.0,479098388480,469305139200,3.646505,,,obd_soft_prompt_gemma_3_270m_train,google/gemma-3-270m,,,obd_soft_prompt_training,,sample,94.3,222617002,163588,3978485760,14677041152,247736,125,train,2,,31.4,9180385280,64.3,25692307456,16511922176,2026-03-09T11:20:30.411131+00:00,,,,
,,7582044160,13316915200,1800365568,13316915200,1,cuda,9793908736,98.0,479098388480,469304479744,5.713853,,,obd_soft_prompt_gemma_3_270m_train,google/gemma-3-270m,,,obd_soft_prompt_training,,sample,153.6,222617002,163588,6995709952,16358686720,247736,125,train,3,,36.9,6223376384,75.8,25692307456,19468931072,2026-03-09T11:20:32.992807+00:00,,,,
,,7582044160,13316915200,630614016,13316915200,1,cuda,9793908736,98.0,479098388480,469304479744,5.824315,1,22.73659324645996,obd_soft_prompt_gemma_3_270m_train,google/gemma-3-270m,8.580322265625,3.4482758620689656e-07,obd_soft_prompt_training,,train_step,99.1,222617002,163588,8094588928,16311218176,247736,125,train,2,4.5139641000000665,27.7,5035995136,80.4,25692307456,20656312320,2026-03-09T11:20:34.660274+00:00,,,,
,,7582044160,13316915200,1561712128,13316915200,1,cuda,9797312512,98.0,479098388480,469301075968,6.255253,,,obd_soft_prompt_gemma_3_270m_train,google/gemma-3-270m,,,obd_soft_prompt_training,,sample,42.2,222617002,163588,8096784384,16313221120,247736,125,train,3,,14.7,5027115008,80.4,25692307456,20665192448,2026-03-09T11:20:35.059013+00:00,,,,
,,7582044160,13316915200,630614016,13316915200,1,cuda,9797312512,98.0,479098388480,469301075968,6.33883,1,10.902027130126953,obd_soft_prompt_gemma_3_270m_train,google/gemma-3-270m,6.400716781616211,5.172413793103449e-07,obd_soft_prompt_training,,train_step,143.3,222617002,163588,8096784384,16313221120,247736,125,train,3,0.5114373999999771,16.0,5027782656,80.4,25692307456,20664524800,2026-03-09T11:20:35.174789+00:00,,,,
,,7582044160,13316915200,1217729536,13316915200,1,cuda,9797312512,98.0,479098388480,469301075968,6.772881,,,obd_soft_prompt_gemma_3_270m_train,google/gemma-3-270m,,,obd_soft_prompt_training,,sample,42.9,222617002,163588,8098414592,16307355648,247736,125,train,4,,8.4,5019668480,80.5,25692307456,20672638976,2026-03-09T11:20:35.608840+00:00,,,,
,,7582044160,13316915200,630614016,13316915200,1,cuda,9797312512,98.0,479098388480,469301075968,6.832799,1,8.415818214416504,obd_soft_prompt_gemma_3_270m_train,google/gemma-3-270m,5.251075744628906,6.896551724137931e-07,obd_soft_prompt_training,,train_step,124.0,222617002,163588,8098414592,16307355648,247736,125,train,4,0.49192360000006374,14.3,5019766784,80.5,25692307456,20672540672,2026-03-09T11:20:35.666756+00:00,,,,
,,7582044160,13316915200,631129088,13316915200,1,cuda,9797312512,98.0,479098388480,469301075968,7.292544,,,obd_soft_prompt_gemma_3_270m_train,google/gemma-3-270m,,,obd_soft_prompt_training,,sample,48.3,222617002,163588,8098967552,16307908608,247736,125,train,5,,7.4,5029662720,80.4,25692307456,20662644736,2026-03-09T11:20:36.118362+00:00,,,,
,,7582044160,13316915200,630614016,13316915200,1,cuda,9797312512,98.0,479098388480,469301075968,7.313523,1,15.037105560302734,obd_soft_prompt_gemma_3_270m_train,google/gemma-3-270m,7.168298244476318,8.620689655172415e-07,obd_soft_prompt_training,,train_step,151.2,222617002,163588,8098975744,16307908608,247736,125,train,5,0.48191869999982373,26.9,5029703680,80.4,25692307456,20662603776,2026-03-09T11:20:36.149482+00:00,,,,
,,7582044160,13316915200,630775808,13316915200,1,cuda,9797312512,98.0,479098388480,469301075968,7.794497,,,obd_soft_prompt_gemma_3_270m_train,google/gemma-3-270m,,,obd_soft_prompt_training,,sample,56.6,222617002,163588,8099479552,16308334592,247736,125,train,6,,16.4,5064060928,80.3,25692307456,20628246528,2026-03-09T11:20:36.630456+00:00,,,,
,,7582044160,13316915200,630614016,13316915200,1,cuda,9797312512,98.0,479098388480,469301075968,7.810251,1,23.131406784057617,obd_soft_prompt_gemma_3_270m_train,google/gemma-3-270m,5.758032321929932,1.0344827586206898e-06,obd_soft_prompt_training,,train_step,97.7,222617002,163588,8099479552,16308334592,247736,125,train,6,0.5000792999999248,30.8,5066137600,80.3,25692307456,20626169856,2026-03-09T11:20:36.646210+00:00,,,,
,,7582044160,13316915200,630912512,13316915200,1,cuda,9797312512,98.0,479098388480,469301075968,8.310374,,,obd_soft_prompt_gemma_3_270m_train,google/gemma-3-270m,,,obd_soft_prompt_training,,sample,78.1,222617002,163588,8099991552,16308817920,247736,125,train,7,,22.6,5094522880,80.2,25692307456,20597784576,2026-03-09T11:20:37.146333+00:00,,,,
,,7582044160,13316915200,630614016,13316915200,1,cuda,9797312512,98.0,479098388480,469301075968,8.328053,1,9.079560279846191,obd_soft_prompt_gemma_3_270m_train,google/gemma-3-270m,5.559596061706543,1.206896551724138e-06,obd_soft_prompt_training,,train_step,50.4,222617002,163588,8099991552,16308817920,247736,125,train,7,0.5086647000002813,30.8,5095665664,80.2,25692307456,20596641792,2026-03-09T11:20:37.164012+00:00,,,,
,,7582044160,13316915200,630699520,13316915200,1,cuda,9797312512,98.0,479098388480,469301075968,8.813997,,,obd_soft_prompt_gemma_3_270m_train,google/gemma-3-270m,,,obd_soft_prompt_training,,sample,51.7,222617002,163588,8101523456,16310349824,247736,125,train,8,,21.8,5118513152,80.1,25692307456,20573794304,2026-03-09T11:20:37.649956+00:00,,,,
,,7582044160,13316915200,630614016,13316915200,1,cuda,9797312512,98.0,479098388480,469301075968,8.824704,1,11.646409034729004,obd_soft_prompt_gemma_3_270m_train,google/gemma-3-270m,5.60478401184082,1.3793103448275862e-06,obd_soft_prompt_training,,train_step,0.0,222617002,163588,8101523456,16310349824,247736,125,train,8,0.4949219999998604,33.3,5117988864,80.1,25692307456,20574318592,2026-03-09T11:20:37.660663+00:00,,,,
,,7582044160,13316915200,4080888832,13316915200,1,cuda,9797312512,98.0,479098388480,469301075968,9.528639,,,obd_soft_prompt_gemma_3_270m_train,google/gemma-3-270m,,,obd_soft_prompt_training,,sample,96.9,222617002,163588,8101580800,16310353920,247736,125,train,9,,17.9,5136068608,80.0,25692307456,20556238848,2026-03-09T11:20:38.153780+00:00,,,,
,,7582044160,13316915200,1546523648,13316915200,1,cuda,9797312512,98.0,479098388480,469301075968,10.252064,,,obd_soft_prompt_gemma_3_270m_train,google/gemma-3-270m,,,obd_soft_prompt_training,,sample,67.4,222617002,163588,8101580800,16310353920,247736,125,train,10,,6.7,5134405632,80.0,25692307456,20557901824,2026-03-09T11:20:38.874803+00:00,,,,
,,7582044160,13316915200,630614016,13316915200,1,cuda,9797312512,98.0,479098388480,469301075968,10.313937,1,10.693157196044922,obd_soft_prompt_gemma_3_270m_train,google/gemma-3-270m,5.964158058166504,1.5517241379310346e-06,obd_soft_prompt_training,,train_step,111.2,222617002,163588,8101593088,16310353920,247736,125,train,9,1.4976365999996233,12.5,5121323008,80.1,25692307456,20570984448,2026-03-09T11:20:39.149896+00:00,,,,
,,7582044160,13316915200,740749312,13316915200,1,cuda,9797312512,98.0,479098388480,469301075968,10.771194,,,obd_soft_prompt_gemma_3_270m_train,google/gemma-3-270m,,,obd_soft_prompt_training,,sample,48.3,222617002,163588,8102424576,16311189504,247736,125,train,10,,9.0,5119836160,80.1,25692307456,20572471296,2026-03-09T11:20:39.603187+00:00,,,,
,,7582044160,13316915200,630614016,13316915200,1,cuda,9797312512,98.0,479098388480,469301075968,10.800831,1,11.049395561218262,obd_soft_prompt_gemma_3_270m_train,google/gemma-3-270m,6.280027389526367,1.724137931034483e-06,obd_soft_prompt_training,,train_step,97.7,222617002,163588,8102424576,16311189504,247736,125,train,10,0.4742790000000241,8.3,5123338240,80.1,25692307456,20568969216,2026-03-09T11:20:39.636790+00:00,,,,
,,7582044160,13316915200,4057843200,13316915200,1,cuda,9797312512,98.0,479098388480,469301075968,11.49218,,,obd_soft_prompt_gemma_3_270m_train,google/gemma-3-270m,,,obd_soft_prompt_training,,sample,100.1,222617002,163588,8102436864,16311193600,247736,125,train,11,,12.8,5152722944,79.9,25692307456,20539584512,2026-03-09T11:20:40.122015+00:00,,,,
,,7582044160,13316915200,1734942208,13316915200,1,cuda,9797308416,98.0,479098388480,469301080064,12.196271,,,obd_soft_prompt_gemma_3_270m_train,google/gemma-3-270m,,,obd_soft_prompt_training,,sample,64.5,222617002,163588,8102436864,16311193600,247736,125,train,12,,9.1,5156200448,79.9,25692307456,20536107008,2026-03-09T11:20:40.834860+00:00,,,,
,,7582044160,13316915200,630614016,13316915200,1,cuda,9797308416,98.0,479098388480,469301080064,12.264044,1,5.7961015701293945,obd_soft_prompt_gemma_3_270m_train,google/gemma-3-270m,4.564302921295166,1.896551724137931e-06,obd_soft_prompt_training,,train_step,111.6,222617002,163588,8102436864,16311193600,247736,125,train,11,1.4740973000002668,15.3,5151346688,79.9,25692307456,20540960768,2026-03-09T11:20:41.100003+00:00,,,,
,,7582044160,16802381824,4266346496,16802381824,1,cuda,6541545472,98.6,479098388480,472556843008,15.326681,,,obd_soft_prompt_gemma_3_270m_train,google/gemma-3-270m,,,obd_soft_prompt_training,,sample,62.1,222617002,163588,8503500800,19803488256,247736,125,train,12,,22.3,4761038848,81.5,25692307456,20931268608,2026-03-09T11:20:41.548066+00:00,,,,
