system_name,display_name,group,family,model_name,backend,n,token_f1_mean,rouge_l_f1_mean,exact_match_mean,seq_sim_mean,accuracy,macro_f1,has_answer_tag_rate,valid_label_rate,mean_prediction_length,mean_non_ascii_ratio,bertscore_f1_mean,embedding_cosine_mean
gemma_3_270m_baseline,gemma-3-270m baseline,baseline,Gemma 3 270M,google/gemma-3-270m,hf,39,0.08171135756556175,0.07085848652645661,0.0,0.01867269604717402,0.0,0.0,0.0,0.0,397.20512820512823,0.0,0.7844843146128532,0.4097586465187562
gemma_flamingo,Gemma + Flamingo,trained,Gemma 3 270M,,,39,0.414352614988517,0.22824345165747667,0.0,0.06251672904176986,1.0,0.5,1.0,1.0,601.0,0.000668069948204647,0.8844111607624934,0.7611318414027874
gemma_soft_prompt,Gemma + Soft Prompt,trained,Gemma 3 270M,,,39,0.13106874339656344,0.06272233530635336,0.0,0.014222798655313987,0.8571428571428571,0.4642857142857143,0.1282051282051282,0.1794871794871795,510.3076923076923,0.07836529976498156,0.7651456838999039,0.2637673680109378
llama_3_2_1b_baseline,Llama-3.2-1B baseline,baseline,Llama 3.2 1B,meta-llama/Llama-3.2-1B,hf,39,0.13142654132750917,0.10624242630784285,0.0,0.01645683107829455,0.3125,0.3272727272727273,0.0,0.41025641025641024,756.0512820512821,0.0,0.809868207344642,0.496031132264015
llama_soft_prompt,Llama + Soft Prompt,trained,Llama 3.2 1B,,,39,0.4567771853032515,0.2591506452575152,0.0,0.0754896387267828,1.0,0.5,1.0,1.0,581.7435897435897,0.0003821254611353468,0.895123391579359,0.8050746336961404
llama_flamingo,Llama + Flamingo,trained,Llama 3.2 1B,,,39,0.44875430411634953,0.23266930007519185,0.0,0.06752889387562841,1.0,0.5,1.0,1.0,586.7179487179487,0.0003628706343129038,0.8908359759893173,0.7976571107522036
